TFBS-name fold-change pvalue adj-pvalue number-of-hits
SP3 3.62497153331223 7.27514324752837e-110 4.40873680800219e-107 541
KLF5 3.36570613553546 4.5962379424948e-107 1.39266009657592e-104 532
SP1 3.22623968665651 5.02339500618696e-84 1.01472579124977e-81 488
SP2 3.30800085839656 5.88106400852661e-83 8.90981197291781e-81 483
ASCL1 3.51377217908215 6.25648649232757e-74 7.58286162870102e-72 537
ZNF263 3.9018360112987 2.0226163678747e-71 2.04284253155345e-69 595
Klf1 2.82590092105914 6.06295405475265e-70 5.24878593882873e-68 422
KLF9 3.00284219079004 1.32098581912481e-67 1.00064675798705e-65 466
Pou5f1-Sox2 2.84213811959216 1.44399629838258e-63 9.72290840910939e-62 434
KLF16 2.85665519072607 1.48814408676287e-62 9.01815316578297e-61 474
SP8 2.71174741732587 2.35797359520556e-51 1.29902908972234e-49 396
SOX15 2.47330873120759 9.74663603338681e-51 4.92205119686034e-49 384
Pou2f3 2.65702528245891 3.76055456389413e-50 1.75299697363065e-48 409
POU3F1 2.59199951085008 7.87961157249844e-47 3.41074615209575e-45 396
Myog 2.66873125010081 1.55817649650205e-46 6.29503304586827e-45 395
POU3F4 2.49619457242978 5.57729709281331e-46 2.11240127390304e-44 368
POU5F1B 2.4821211875745 2.57451673753911e-45 9.17739495852176e-44 381
RREB1 3.33961429485278 4.36636717032595e-45 1.4700102806764e-43 492
POU2F2 2.5574968499402 5.91500964978423e-45 1.88657676198381e-43 383
POU5F1 2.43655241190987 1.10602890362289e-44 3.35126757797736e-43 381
POU3F3 2.56471789565219 3.0783067048859e-44 8.88311363409933e-43 386
Tcf12 2.59358940966158 1.43557894502539e-43 3.95436745766085e-42 385
Sox3 2.3210830719349 6.94441017767328e-43 1.82970111637826e-41 358
NHLH1 2.85044921770166 1.78500429198642e-42 4.50713583726572e-41 434
POU3F2 2.41709744592328 9.45174367931915e-42 2.29110266786696e-40 380
Ascl2 2.84224890985835 9.82412910428259e-41 2.28977778353663e-39 433
