TFBS-name fold-change pvalue adj-pvalue number-of-hits
cluster_18 3.49165733832385 3.13033436457176e-167 2.47296414801169e-165 1148
cluster_33 2.60405608755343 1.59305449383925e-123 6.29256525066503e-122 856
cluster_25 2.48027049646413 5.17145014336956e-94 1.36181520442065e-92 788
cluster_54 2.91519640403731 1.58601745961626e-84 3.13238448274212e-83 1013
cluster_41 2.33440414020132 3.45804529515862e-72 5.46371156635063e-71 758
cluster_75 2.8072540982483 9.69203468403201e-67 1.27611790006421e-65 921
cluster_2 2.23039757170916 2.96972638712444e-61 3.3515483511833e-60 683
cluster_12 2.10285173428108 5.52829009369096e-57 5.45918646751983e-56 701
cluster_44 2.05005055279678 1.43258404233154e-52 1.25749043715769e-51 654
cluster_68 2.09805480011523 5.33582958334546e-51 4.21530537084292e-50 718
cluster_20 2.09973354370459 8.95084822305463e-50 6.42833645110287e-49 711
cluster_28 2.00528093906639 1.6249011235432e-48 1.06972657299927e-47 640
cluster_55 2.57549637426301 4.33459046168294e-42 2.63409728056117e-41 901
cluster_1 2.02588348586373 6.86397283297419e-39 3.87324181289258e-38 681
cluster_21 1.84203688607428 5.56941724647878e-34 2.93322641647882e-33 560
cluster_23 1.69105424553852 5.98083160011753e-30 2.95303560255803e-29 581
cluster_64 1.82971908181392 5.78258985441674e-27 2.68720352058189e-26 618
cluster_37 1.6588893472414 4.02228094952628e-26 1.75692362934329e-25 542
cluster_6 1.80909743452126 4.22551252626867e-26 1.75692362934329e-25 599
cluster_9 1.75830004798766 1.47652635007206e-25 5.83227908278462e-25 567
cluster_16 1.66604747015084 7.89016182526139e-17 2.968203734265e-16 555
cluster_57 1.40877594190557 2.82426552288829e-12 1.01416807412807e-11 475
cluster_22 1.42984658495236 9.84213889833595e-12 3.38056075203713e-11 470
cluster_48 1.42129465085303 8.92167124623537e-11 2.93671678521914e-10 449
cluster_45 1.36954287466231 1.60551729763044e-10 5.07343466051219e-10 467
cluster_71 1.38101404346721 1.78602835178967e-10 5.42677845351477e-10 461
cluster_34 1.43342493367798 2.82022638587994e-10 8.25177349942649e-10 468
cluster_8 1.41515965559863 2.07929031142463e-09 5.86656909294808e-09 454
cluster_30 1.47873438024786 2.52594226146884e-09 6.8810151260703e-09 477
cluster_67 1.40941417388555 5.64594203834621e-09 1.4867647367645e-08 471
cluster_35 1.4168963365298 5.97424651188641e-09 1.52246927238396e-08 452
cluster_78 1.32958101852888 5.94821334164853e-08 1.46846516871948e-07 416
cluster_24 1.32956300840027 7.49476442638028e-08 1.79420118086073e-07 426
cluster_73 1.32794552526525 1.08121139930479e-07 2.51222648661995e-07 417
cluster_72 1.38602097803714 1.14473056723786e-07 2.58382042319403e-07 478
cluster_13 1.34155751393289 8.38514678379865e-06 1.84007387755582e-05 444
cluster_32 1.26967465257355 1.56278014727729e-05 3.3367468009434e-05 416
cluster_60 1.23894495860186 3.02311093617263e-05 6.28488852520098e-05 399
cluster_7 1.22853868045711 7.09097858707967e-05 0.000143637771379306 401
cluster_51 1.24709997823706 0.000100478970742297 0.000198445967216036 412
cluster_69 1.26169694773247 0.000109577075232811 0.000211136315692489 457
cluster_36 1.2543950196888 0.00069183335045512 0.00130130558776082 412
cluster_66 1.14697480944987 0.00530215898606471 0.00974117581160725 384
cluster_3 1.17963100460176 0.00936945606710265 0.0168224324841161 378
cluster_65 1.12668509985464 0.0128100106318059 0.0224886853313926 408
cluster_79 1.08842150733518 0.0665678661407123 0.114323074459049 436
cluster_42 1.07363873272748 0.179761874115431 0.302152937342959 341
cluster_58 1.04892520981823 0.193852539730335 0.31904897163951 355
cluster_10 1.05558303825556 0.21345167678385 0.341646638628596 341
cluster_63 1.04621894201018 0.216232049764934 0.341646638628596 345
cluster_52 1.0491223240962 0.248579654266788 0.385054758570122 341
cluster_74 1.03946942874984 0.260692297144013 0.396051759122636 328
cluster_39 1.03790167986107 0.293129897299389 0.436929469559466 330
cluster_38 1.01421682510541 0.407103176343443 0.595576869095037 335
cluster_19 1.00750087149568 0.453355622413356 0.651183530375548 333
cluster_56 0.998392263559934 0.515881631699552 0.727761587576154 333
cluster_59 0.996875799382621 0.52786256795185 0.731598997687652 322
cluster_31 0.987823925358194 0.574174550107911 0.781309193311648 305
cluster_46 0.988964443301467 0.583509397536547 0.781309193311648 332
cluster_27 0.967941723900541 0.714182020515628 0.940339660345576 306
cluster_4 0.893356292097759 0.932957569103013 1 294
cluster_43 0.889968179788705 0.9496533273229 1 304
cluster_49 0.914313387434782 0.950997433408745 1 326
cluster_70 0.907343941707102 0.952564609461657 1 310
cluster_47 0.881991736912196 0.984815031887363 1 297
cluster_76 0.837810377980969 0.989125253231166 1 276
cluster_5 0.839982075728447 0.991440012799747 1 280
cluster_15 0.823998414102918 0.992110638148459 1 273
cluster_17 0.825302363612068 0.998984184198766 1 269
cluster_61 0.735009506046965 0.99991945873776 1 239
cluster_40 0.755517085561832 0.99997631166299 1 250
cluster_62 0.762243474720559 0.999989120490883 1 245
cluster_26 0.629850388825081 0.999999903513411 1 205
cluster_53 0.647585896093242 0.999999985438217 1 209
cluster_14 0.664277955272271 0.99999999907732 1 228
cluster_11 0.677146729903256 0.999999999586491 1 224
cluster_29 0.627434152162156 0.99999999999936 1 214
cluster_50 0.397038422862785 0.999999999999999 1 133
cluster_77 0.522121528664818 1 1 176
