TFBS-name fold-change pvalue adj-pvalue number-of-hits
NR2F1 3.61834065084581 5.67406476581308e-280 3.43848324808273e-277 1211
NR2F2 3.41301195102841 1.53825827056279e-243 4.66092255980526e-241 1112
RARA-RXRA-DR0 3.44753714865897 1.97471896823558e-226 3.98893231583587e-224 1132
RORA 3.2255616268072 7.76131775012557e-220 1.17583963914402e-217 1074
NR4A2 3.10607722430305 1.68567288807445e-216 2.04303554034623e-214 1099
Nr5a2 3.23476970833608 3.9233097935166e-208 3.96254289145176e-206 1078
Esrrg 3.03422012940917 2.30038474535475e-194 1.99147593669283e-192 1055
KLF5 3.12683033133302 7.27238102136319e-192 5.50882862368262e-190 1055
Pou2f3 3.42874252338755 3.77569758064067e-187 2.54230303763138e-185 1128
POU5F1B 3.0360266177913 2.52271184054483e-161 1.52876337537017e-159 1018
POU3F1 3.20375993041759 3.04744775147519e-161 1.67886667035815e-159 1067
Pou5f1-Sox2 3.05680476050753 7.90080637677625e-161 3.98990722027201e-159 1027
SP1 2.95293478589832 1.71204507647698e-154 7.98076397188501e-153 1025
POU3F2 3.03620038910166 1.41812332555403e-149 6.13844810918387e-148 1007
POU1F1 3.05862579948076 2.71288478895613e-147 1.09600545473828e-145 1008
POU5F1 2.88607264357029 3.80690162716643e-144 1.44186399128929e-142 965
POU2F1 2.94778658877527 3.55312111894193e-143 1.26658317534048e-141 993
POU3F4 2.81430495065283 7.78545324182244e-141 2.62110259141356e-139 964
POU2F2 2.92621502970173 5.33650182530181e-138 1.70206321375416e-136 989
NR4A1 2.66134735127149 1.86009840269061e-136 5.63609816015254e-135 892
ESRRB 2.69255475756391 7.66455690746648e-136 2.21177213615461e-134 895
POU3F3 2.98447719446322 2.18065368066426e-130 6.00670968401156e-129 965
SOX15 2.64524503124881 6.38867629471959e-130 1.68327731939134e-128 894
Esrra 2.63375970714605 1.66092176670731e-127 4.19382746093595e-126 886
ASCL1 3.13520661137282 2.06689497803148e-120 5.01015342674831e-119 1035
Pparg-Rxra 2.56706362949383 3.14335050420851e-111 7.32642463673215e-110 821
RARA-RXRA-DR6 2.58542411421209 3.11707581417316e-109 6.99610349403308e-108 857
SP2 2.60483741590481 1.16651412782386e-105 2.52370330752192e-104 885
RARA-RXRA 2.54535781692805 1.20771280392963e-105 2.52370330752192e-104 820
Klf1 2.3401881717145 1.84166375361852e-98 3.7201607823094e-97 846
Sox3 2.33536493561163 3.89688313984959e-95 7.61777800886726e-94 810
RARA(var.2) 2.46005872313474 7.34598498916287e-94 1.39114590732272e-92 793
SP3 2.44760378468887 1.22044583494106e-92 2.24118235143722e-91 822
NR2C2 2.41604628968974 1.83205717465339e-92 3.26537249364692e-91 804
Nr2f6 2.38155824205246 3.54883241785939e-91 6.14454984349369e-90 806
RARA-RXRG 2.42441245863095 2.83431329831655e-89 4.77109405216619e-88 773
Rarb(var.2) 2.40741634548782 2.99765392503006e-88 4.90967102315734e-87 787
Rxra 2.34344241921186 4.77538394900822e-88 7.61548071868152e-87 799
ESR2 2.509092848512 1.37848449826568e-87 2.14195283576668e-86 829
RXRB 2.35708617019595 5.21653998081121e-87 7.90305807092898e-86 779
RARA-RXRA-DR5 2.39388616054095 1.87327385831289e-85 2.76879014179905e-84 762
SRY 2.30779764327777 4.84748654955138e-84 6.99423059292414e-83 754
RXRG 2.32988193902103 4.31129437214027e-83 6.07591718492327e-82 763
ZNF263 2.90731722851434 1.61807941658173e-82 2.22853665101939e-81 981
Nr2f6(var.2) 2.31192684160491 1.38660264183116e-81 1.86729155766597e-80 763
Myod1 2.45877433544853 1.56586716953627e-80 2.06285979291083e-79 820
KLF16 2.39442221124577 5.00455407550469e-80 6.45268036118265e-79 795
Ascl2 2.74984243922618 3.06936667101488e-78 3.87507542215628e-77 911
HNF4G 2.27100642186598 6.75811514312782e-77 8.35799546272542e-76 727
Rarb 2.29040683275535 8.7808018958336e-77 1.06423318977503e-75 752
RARA 2.24845186680978 4.64270245630876e-76 5.51662291867277e-75 745
Tcf12 2.38970363271026 1.00037419937317e-75 1.1658207015772e-74 794
Rarg 2.26503089535517 1.83425392524451e-75 2.09727901641165e-74 751
NHLH1 2.65796487787591 2.81305631702655e-75 3.1568743113298e-74 897
Myog 2.38771873043196 1.12742348866759e-74 1.24221569842283e-73 781
SP8 2.25880589825469 1.80807046476191e-68 1.95659053865307e-67 726
Sox6 2.02759946099315 7.97944961800178e-67 8.48341485703347e-66 767
RREB1 2.8072540982483 9.69203468403201e-67 1.01265052043507e-65 921
RARA-RXRA-IR3 2.27041642108828 4.04903572892709e-60 4.15884008767766e-59 769
KLF9 2.16981040999505 3.57737762764361e-59 3.61315140392004e-58 715
SOX10 1.98276397006787 2.08993966513259e-55 2.07623514273827e-54 671
SOX13 1.98032410757282 3.24700135091707e-55 3.17368196557378e-54 683
Rarg(var.2) 2.04638467437686 2.30090059513341e-53 2.21324723912833e-52 662
NR1H2-RXRA 2.02536291424679 1.31650824611642e-52 1.24656874554149e-51 672
FOXA1 2.00822391226684 5.37912606823855e-52 5.01500061131163e-51 668
Zfx 2.09805480011523 5.33582958334546e-51 4.89926170834447e-50 718
FOXC2 2.00059782397207 7.66528419640408e-50 6.93307794480727e-49 677
ESR1 2.22203730332199 3.86843822564782e-48 3.44746112462144e-47 736
NRL 1.90988186542316 2.8176044007405e-47 2.47459169108514e-46 652
Sox2 1.8513228507947 3.35123563426973e-47 2.90121256338208e-46 671
Hnf4a 1.9171035574257 3.53434908910286e-46 3.01664161689624e-45 631
EWSR1-FLI1 2.27470643988032 6.16821135449575e-45 5.19157789003392e-44 730
MEF2A 2.08833341971951 1.14004529037856e-44 9.4639376160193e-44 714
RARA-RXRA-ER2 2.09127199415492 2.46455668904317e-44 2.01827209940562e-43 673
MEF2C 1.93820696956483 7.91082620204325e-43 6.39194757125095e-42 629
Foxj3 1.93174418567005 1.07873797396268e-42 8.6015159502814e-42 636
ZNF384 2.57549637426301 4.33459046168294e-42 3.41137898672709e-41 901
TCF7L1 1.83447663491472 6.24048471101021e-41 4.84837658316947e-40 620
RARA-RXRA-DR4 1.88993057890669 9.75498302884332e-41 7.48293634870766e-40 615
FOXB1 1.93124853954671 2.03793573295037e-40 1.5437363177099e-39 640
ZNF740 2.35210621496014 2.83935337458016e-40 2.12425696913035e-39 803
Hoxb5 2.03082887475116 6.98896617724423e-40 5.16501646757317e-39 680
RARA-RXRA-DR2 1.8407752778599 9.05463872243869e-40 6.61097718770825e-39 626
MEF2D 1.96679146648303 1.99829900109327e-39 1.44162999364586e-38 679
FOXC1 1.85355739665666 2.82948907086888e-39 2.01725926699593e-38 639
POU4F2 1.97714951401441 7.80789353072204e-37 5.50184125536925e-36 654
Foxd3 1.87579692764277 2.16601541839831e-36 1.50874177419469e-35 626
TFAP2C(var.2) 2.04308884908944 4.29391467827852e-35 2.95694578981452e-34 707
TFAP2B(var.2) 2.00158436354884 4.7030096458403e-34 3.20227398357216e-33 694
SP4 1.78247673497461 1.95757248655438e-33 1.31809880761328e-32 589
PPARA-RXRA 1.77668434123972 3.97493001455553e-33 2.64704130639632e-32 576
TEAD3 1.71418698135743 2.78204138451482e-32 1.83251856414781e-31 602
RARA-RXRA-IR5 1.89634950206054 4.86352035590161e-32 3.16913261900686e-31 615
SOX9 1.72665173643985 5.30140055157075e-32 3.41771141941689e-31 604
TFAP2A 1.93176083133768 5.63586942360636e-32 3.59509144284785e-31 654
IRF1 1.87980614076999 2.14279192072031e-31 1.3526373999547e-30 613
TEAD4 1.71609247857311 2.49965806803697e-31 1.56164205075299e-30 582
POU4F3 2.03216268144907 4.35518802025671e-31 2.69310606150568e-30 656
FOXP3 1.73699160908964 6.63576624656541e-31 4.06189327820064e-30 573
TEAD1 1.69596593636827 3.51993370629953e-30 2.13307982601752e-29 569
POU4F1 2.0063809176089 3.79790315702535e-30 2.27874189421521e-29 665
Klf12 1.71272974558029 6.1003147345025e-30 3.6243046363809e-29 558
TCF4 1.77586150635267 7.70965752542178e-30 4.53597326252971e-29 576
THAP1 1.68856338372303 1.0181846185944e-29 5.93288345065582e-29 563
Sox5 1.65833946880934 7.87343677359347e-29 4.54409779504537e-28 590
ZBTB7A 1.7068544459145 1.25034133633393e-28 7.14817782847511e-28 547
RARA-RXRA-DR3 1.70765128577432 1.67496328437432e-28 9.48624065729754e-28 568
LEF1 1.68397595368287 1.26372020712505e-27 6.99214547518553e-27 543
Hoxd3 1.82571500498536 1.26439711536556e-27 6.99214547518553e-27 595
ELK4 1.66337019524294 1.26920132387856e-27 6.99214547518553e-27 562
TBP 1.82971908181392 5.78258985441674e-27 3.15698148808697e-26 618
RAX 1.79653891371412 1.67145347275889e-26 9.04375718296329e-26 596
Bhlha15 1.81316965401531 2.10095402256341e-26 1.12670631652515e-25 638
Foxa2 1.65216783053229 4.26577205474359e-26 2.26759461857422e-25 562
CDX2 1.64102072531866 1.0556227553625e-25 5.56267295434499e-25 548
RARA-RXRA-DR8 1.69211566905785 1.133976179873e-25 5.92404797416413e-25 536
Arid3b 1.91189771065835 1.22107169216991e-25 6.32452517482878e-25 637
MEF2B 1.76164514946547 2.65519000845601e-25 1.36359758061385e-24 588
Hoxd8 1.99624897618514 8.57638148132726e-25 4.36746821654144e-24 650
GSX2 1.70448656757133 1.00544282504438e-24 5.07748626647412e-24 592
LIN54 1.77740670483405 1.22019669512837e-24 6.11106774584952e-24 602
RARA-RXRA-ER1 1.7621048277954 1.39409900729187e-24 6.92478687228585e-24 575
MNX1 1.71357684151038 1.99533199603362e-23 9.83066007801928e-23 584
TCF3 1.69219170509878 3.10917121045293e-23 1.51948205930199e-22 549
Dlx1 1.77489931867747 3.36981956506275e-23 1.63368852514242e-22 581
RARA-RXRA-DR1 1.62373191713626 3.9433349627185e-23 1.89655633921223e-22 534
RARA-RXRA-IR8 1.74183166499406 5.01778064464679e-23 2.39431107925666e-22 562
RARA-RXRA-IR0 1.69925760733508 5.73210439992424e-23 2.71379317683913e-22 587
NEUROD1 1.62060730191504 6.37718276006557e-23 2.99579283147266e-22 551
ID4 1.6207277530324 1.70491456503834e-22 7.94752481856332e-22 552
Nr2e1 1.57087874276021 2.04777043601704e-22 9.4728922460025e-22 547
TCF7L2 1.5597775774067 7.02609584773681e-22 3.22561673009735e-21 559
CTCFL 1.61154219190936 9.92585871405808e-22 4.52260930881143e-21 529
EVX1 1.66442912098338 1.87109314523163e-21 8.46180929858483e-21 574
RARA-RXRA-DR7 1.60158740976977 9.08093903915877e-21 4.07633263535571e-20 519
NR1H4 1.55800443788074 1.22178290826119e-20 5.4441209000462e-20 528
ESX1 1.67637197798074 1.82670719401496e-20 8.08017926695667e-20 551
Barhl1 1.57182147372442 3.89488385935246e-20 1.71036204258521e-19 547
ZEB1 1.55923501093785 3.93657471859671e-20 1.71623329458245e-19 544
Tcf7 1.54660928117971 3.99630369253655e-20 1.72982859834082e-19 530
Bach1-Mafk 1.59938253026317 7.201122603094e-20 3.09495056558508e-19 516
BACH2 1.61630629751928 1.17720805950255e-19 5.02385974689118e-19 534
Foxq1 1.54270272217807 1.39521645343697e-19 5.91259559987975e-19 536
GSX1 1.6226377430471 2.02231698144006e-19 8.51058396356027e-19 543
