TFBS-name fold-change pvalue adj-pvalue number-of-hits
Tcf12 5.03223711433039 1.26766661780329e-186 7.68205970388796e-184 747
Myod1 4.98321186941579 2.45442460160114e-184 7.43690654285145e-182 770
Myog 4.98613585461873 9.97350796586408e-182 2.01464860910454e-179 738
Ascl2 5.11998648889034 5.27803727060714e-142 7.99622646496982e-140 780
ASCL1 4.84206966949869 8.27742752378936e-140 1.00322421588327e-137 740
NHLH1 4.53838804016555 3.02637980831374e-118 3.05664360639688e-116 691
ZNF263 4.8002419500347 5.9642079875822e-106 5.16330005782116e-104 732
ZNF384 4.5587416383039 7.88799414659148e-70 5.97515556604305e-68 707
NEUROD1 2.75951763200547 2.91435243988107e-59 1.96233064285325e-57 409
FOXC2 2.71624938012327 7.86472808214563e-58 4.76602521778025e-56 417
TCF3 2.80056154266768 5.50451358442856e-56 3.03248657469428e-54 435
Foxd3 2.69033840513156 3.17583664840329e-55 1.60379750744366e-53 436
IRF1 2.92925839248483 1.59846472468572e-52 7.45130479353499e-51 424
MSC 2.91775504825573 5.32320976458835e-51 2.30418936952896e-49 446
POU3F1 2.62472677740122 2.19084743043142e-48 8.85102361894293e-47 401
POU3F3 2.6378057113314 1.35060672851642e-47 5.11542298425594e-46 397
TCF4 2.6091730151661 3.37953230114569e-47 1.20470386734958e-45 383
POU1F1 2.55199278570634 8.26629989279087e-46 2.78298763057293e-44 390
POU4F3 3.06815467380168 8.07973083324025e-45 2.57700888681242e-43 448
POU4F1 3.00528954975908 1.10084302667469e-44 3.33555437082431e-43 457
MEF2C 2.47310722327 1.3083297755943e-44 3.77546592385783e-43 365
POU2F2 2.54414177500578 2.46735800670072e-44 6.79644978209379e-43 381
POU4F2 2.66055904798899 2.78637690350337e-43 7.34149740662193e-42 404
FOXC1 2.39769423948132 2.48673310086429e-42 6.27900107968232e-41 371
POU2F1 2.45335259451271 9.6826486149348e-42 2.34707402426019e-40 369
MYF6 2.76578989378051 6.63278702647819e-41 1.54594959155607e-39 419
POU3F2 2.34076805289413 3.70963885089888e-38 8.32607830979526e-37 368
Tcf21 2.73844284221838 1.54171974850409e-37 3.33672202711956e-36 420
POU5F1 2.27667364472418 7.87307092771338e-37 1.64520033868769e-35 356
SOX15 2.20279058873176 3.1647500132647e-36 6.39279502679469e-35 342
MAFF 2.69907004489548 4.15536226605343e-36 8.12306301041412e-35 401
ID4 2.27950361333823 4.91560460257833e-36 9.30892621613272e-35 353
POU5F1B 2.28667857437966 5.54846838679654e-36 1.01890055830264e-34 351
Pou2f3 2.34519835444417 7.50170146661469e-36 1.33706796728485e-34 361
Pou5f1-Sox2 2.28549816529416 1.88682965717707e-35 3.26691077785515e-34 349
Foxj3 2.2841493716896 6.05824184998486e-35 1.01980404474745e-33 339
FOXB1 2.25291252748054 7.06038278777879e-33 1.15637620794431e-31 356
MAFK 2.63147432785391 8.87825794984328e-33 1.4158485046329e-31 387
Bach1-Mafk 2.2217399474315 2.11762707317179e-31 3.29046668292848e-30 330
SNAI2 2.07795109990212 4.17478049880627e-31 6.32479245569149e-30 330
MAF-NFE2 2.14114397789729 5.16699910710313e-31 7.63707672903536e-30 332
Dlx1 2.39499527096603 2.76282180321622e-30 3.98635717321197e-29 361
Arid3b 2.52325619716158 6.96466200480383e-30 9.81531436025843e-29 380
BACH2 2.20431935890776 4.57054560872883e-28 6.29488781565835e-27 328
MAFG 2.49946117412126 5.90021183613294e-28 7.94561860599236e-27 379
POU3F4 2.10277260177509 6.74702711031932e-28 8.88847484533372e-27 310
Bhlha15 2.32304652301886 1.84169072430746e-27 2.37460548708578e-26 362
RREB1 2.67440656945527 2.84516474757225e-27 3.59202049380997e-26 394
MEF2A 2.2571469125949 3.49678251335326e-27 4.32459225120831e-26 338
HESX1 2.27933590008155 9.99400331781189e-27 1.2112732021188e-25 326
Hoxd8 2.56960757722498 2.08016210063971e-26 2.47172202546601e-25 379
ZEB1 2.03901959962167 3.108643969134e-26 3.62276585633693e-25 309
RAX 2.24183658346365 4.13793133915583e-26 4.73129507835554e-25 331
YY1 1.97799759068182 4.91652262041579e-26 5.51743094068883e-25 308
Zfx 2.12585260996627 3.58814624045209e-25 3.95348476675267e-24 325
SHOX 2.13672830200854 4.35571946551123e-25 4.71351070732109e-24 322
Dlx2 2.11670534096742 2.71025765923861e-24 2.86852561799459e-23 326
Lhx3 2.40629481970445 2.745453561777e-24 2.86852561799459e-23 363
ONECUT3 2.02577305365165 1.44329587890149e-23 1.48243610612594e-22 307
KLF9 2.03626208645848 1.84361927674107e-23 1.86205546950848e-22 316
FOXA1 1.95520120461081 2.49119332796776e-23 2.47485763401387e-22 304
TFAP4 2.26508382748307 4.30699753168666e-23 4.20974274871309e-22 350
Foxq1 1.92302814552781 1.02534021642872e-22 9.86279636755244e-22 296
Hoxd9 1.96657200250175 7.05653655839292e-22 6.68165805372829e-21 288
PROP1 2.24088266795866 2.21330568579857e-21 2.06348191629836e-20 340
Arid5a 2.1195610672478 4.73524267469164e-21 4.34781372858051e-20 327
THAP1 1.87716112834538 1.27868623096935e-20 1.1565430686081e-19 270
NRL 1.84659718084349 2.11807690073431e-20 1.88758029683087e-19 291
Phox2b 2.09618526888296 3.52904492268801e-20 3.09942206253468e-19 320
ZSCAN4 1.87860225986656 5.12222985163117e-20 4.43438755726927e-19 281
KLF4 1.86771676664445 6.66485082671369e-20 5.68859098730774e-19 276
SP3 1.90964304435118 7.07279291114335e-20 5.95293403354565e-19 285
SRY 1.81738822964962 2.2225227102549e-19 1.84499830467736e-18 287
GBX1 2.02501981973465 3.744680378285e-19 3.06658960708204e-18 290
FIGLA 2.00040347163519 5.04824258855372e-19 4.07898001155141e-18 303
HOXA10 1.84991286917738 9.02605979707489e-19 7.19709504872024e-18 286
HOXA13 1.84020882529349 1.03022705337527e-18 8.10802070578455e-18 279
VAX1 2.02962562374488 1.66531759016153e-18 1.29382366620242e-17 290
Nfe2l2 1.81909650677729 1.89526210787108e-18 1.45383397135427e-17 282
SP2 1.8971350678589 3.28693146015515e-18 2.48985058106753e-17 277
NEUROG2 2.0390214712196 3.96269570022711e-18 2.96468344979955e-17 310
Foxj2 1.78722274385257 4.21361085125617e-18 3.11396119007468e-17 282
HOXB3 1.87187346800384 1.19109281630536e-17 8.69641261061507e-17 282
Mafb 1.76321954370729 3.90194304348862e-17 2.81497319565965e-16 273
Foxa2 1.79203658449422 3.96590766182404e-17 2.82745887419455e-16 269
HNF1A 2.09646915048965 4.56907948494853e-17 3.2196071719521e-16 316
VSX1 1.94017499592193 6.71347777003249e-17 4.6762845156778e-16 308
LMX1B 1.95625270389517 9.06225413698671e-17 6.24059773524312e-16 295
SOX10 1.76848273353088 9.61503438615778e-17 6.54686611012541e-16 258
PDX1 1.82638519137556 1.08845863939997e-16 7.32895483862644e-16 272
TBP 1.93817055018613 1.25945868005491e-16 8.38716439684919e-16 297
PHOX2A 1.94211792397623 1.30127333993188e-16 8.57143091302959e-16 305
FOXL1 1.75292949932801 3.31857378021282e-16 2.16242549549351e-15 266
CTCF 1.78780664052037 4.03112723532975e-16 2.59879053681896e-15 274
Msx3 1.79473820445497 4.69391390179788e-16 2.99422297314686e-15 275
TWIST1 1.78289545563117 6.66320160836832e-16 4.2061460152825e-15 262
SP1 1.77839851580041 2.0709562369993e-15 1.29381389651709e-14 269
Sox3 1.70515320647732 3.47027045033373e-15 2.1459019315329e-14 263
NRF1 1.94238665373503 3.80473154356534e-15 2.32895688424302e-14 293
MEF2D 1.84090328790831 6.2228502991648e-15 3.77104728129387e-14 276
STAT1-STAT2 1.75407265083819 6.32479896149619e-15 3.79487937689772e-14 260
FOXK2 1.73128750312034 7.16607696603907e-15 4.25749278570557e-14 260
HES7 1.98949600265805 8.57924434832526e-15 5.04759424765544e-14 309
CDX1 1.70214892037743 1.17547933719317e-14 6.84942767633712e-14 266
