TFBS-name fold-change pvalue adj-pvalue number-of-hits
cluster_41 2.56538080315 4.54978672318436e-94 3.13904866784764e-92 833
cluster_33 2.36372848134231 7.94695865277884e-94 3.13904866784764e-92 777
cluster_18 2.61570149038198 4.21969612355318e-84 1.111186645869e-82 860
cluster_54 2.78569607019557 9.73698961832555e-76 1.9230554496193e-74 968
cluster_2 2.39367704255171 2.35647039895677e-75 3.72322323035169e-74 733
cluster_25 2.2599418990625 9.41101483894793e-72 1.23911695379481e-70 718
cluster_75 2.43234394180471 2.66706930875916e-46 3.00997821988534e-45 798
cluster_44 1.96855007210455 7.6367052378999e-46 7.54124642242615e-45 628
cluster_9 2.05910270169984 1.10168922611004e-44 9.67038320696593e-44 664
cluster_12 1.88986675120839 1.16403707182642e-39 9.1958928674287e-39 630
cluster_68 1.82630118394432 1.11250736484256e-31 7.9898256202329e-31 625
cluster_55 2.30108166623943 3.0285588478815e-31 1.99380124152199e-30 805
cluster_37 1.66807139159882 9.58469768561519e-27 5.82454705510462e-26 545
cluster_28 1.60422475125312 1.56880828167784e-20 8.85256101803921e-20 512
cluster_20 1.60064076046116 3.36274902782166e-18 1.77104782131941e-17 542
cluster_45 1.51324223410225 5.14835252333862e-18 2.54199905839845e-17 516
cluster_78 1.54372026910925 1.07193536106261e-17 4.98134667787918e-17 483
cluster_64 1.63431218958136 2.29487095598654e-17 1.00719336401632e-16 552
cluster_71 1.51582018653885 3.81629240394053e-17 1.58677421005949e-16 506
cluster_6 1.62486547541309 4.67821232298897e-17 1.84789386758064e-16 538
cluster_21 1.54928459525176 1.26419286951759e-16 4.75577317580425e-16 471
cluster_35 1.60811464743315 3.01280311468256e-16 1.08187020936328e-15 513
cluster_48 1.52258959256193 3.13998081398324e-15 1.07851514915076e-14 481
cluster_1 1.4844579433862 1.67511575980133e-11 5.51392270934604e-11 499
cluster_8 1.46503312363735 3.15106552505808e-11 9.95736705918355e-11 470
cluster_73 1.40437404470498 1.27454893147635e-10 3.87266790717815e-10 441
cluster_23 1.34469373741618 1.85864305651664e-09 5.43825190610423e-09 462
cluster_72 1.38602097803714 1.14473056723786e-07 3.22977552899254e-07 478
cluster_16 1.39887949745999 1.25500226056836e-07 3.41879926154829e-07 466
cluster_57 1.28421049020023 5.5840447453766e-07 1.4704651162825e-06 433
cluster_3 1.36999473814861 1.27592286947848e-06 3.25154537705805e-06 439
cluster_22 1.22601739092723 0.000138932823730396 0.000338695007025844 403
cluster_34 1.24658963249346 0.000141480192808264 0.000338695007025844 407
cluster_38 1.21100516430497 0.000154802337846066 0.000359687784995271 400
cluster_30 1.28342983946041 0.000171781122938751 0.000387734534633181 414
cluster_36 1.26961826021901 0.000360804267978092 0.000791764921396369 417
cluster_67 1.223886193459 0.00063560357594663 0.00135709952702118 409
cluster_63 1.16751968890991 0.00233001545253924 0.00484397949343683 385
cluster_13 1.1935027432511 0.00635810084390965 0.0128792299145862 395
cluster_56 1.15129918680785 0.00773691594694261 0.0152804089952117 384
cluster_32 1.14759055136455 0.0101465461786472 0.0195506621491007 376
cluster_24 1.13917957292512 0.0113527784121415 0.0213540355847423 365
cluster_65 1.12668509985464 0.0128100106318059 0.0235346706956434 408
cluster_46 1.12896844581704 0.0136846459559166 0.0245701597844866 379
cluster_42 1.1775392552495 0.0146863866465488 0.025695909091521 374
cluster_58 1.12279318234064 0.0150837946134755 0.025695909091521 380
cluster_70 1.1268626372814 0.0152874395860948 0.025695909091521 385
cluster_4 1.121253305388 0.0528990487811531 0.0870630177856479 369
cluster_74 1.09334436865456 0.0638825299268828 0.102994282943342 345
cluster_66 1.07230197029298 0.103148385656552 0.162974449337353 359
cluster_27 1.03753230535744 0.268053509139565 0.415220141608346 328
cluster_79 1.03350115604763 0.285016910380136 0.433006460000592 414
cluster_69 1.03530931159667 0.303485793175832 0.452365616243221 375
cluster_39 1.0316113666498 0.325283771761957 0.475878110540641 328
cluster_47 1.02453585600912 0.337702731152683 0.4850639229284 345
cluster_76 1.02297861369415 0.380052888870051 0.536146039655964 337
cluster_52 1.00297324825619 0.486082416042142 0.670602991067104 326
cluster_51 1.0019177009623 0.492341436479646 0.670602991067104 331
cluster_5 0.977979131026691 0.627541834227539 0.832146332715303 326
cluster_59 0.981396361504009 0.632009872948331 0.832146332715303 317
cluster_31 0.952197488705932 0.762042563905368 0.986907582762689 294
cluster_15 0.890401216704619 0.931424887092425 1 295
cluster_11 0.900846988889153 0.965149683902114 1 298
cluster_43 0.878258072159906 0.965584704621437 1 300
cluster_10 0.854372195186319 0.986251333939396 1 276
cluster_19 0.8774031613626 0.988581937703816 1 290
cluster_60 0.844594056991742 0.997597883091438 1 272
cluster_17 0.831438440664946 0.998529953578677 1 271
cluster_62 0.821356233984602 0.999196134731445 1 264
cluster_7 0.784303995503794 0.999956221871507 1 256
cluster_49 0.790909126554014 0.999979828566697 1 282
cluster_61 0.688879202320168 0.999996218819274 1 224
cluster_40 0.716230197112617 0.99999904987109 1 237
cluster_53 0.663078381645712 0.999999935371767 1 214
cluster_14 0.597267459784279 0.99999999999989 1 205
cluster_26 0.491590547375673 0.999999999999958 1 160
cluster_50 0.498536967053271 0.999999999999999 1 167
cluster_29 0.571727381643086 1 1 195
cluster_77 0.3945577460933 1 1 133
