TFBS-name fold-change pvalue adj-pvalue number-of-hits
Nr5a2 3.46582468750294 2.86250125688667e-244 1.73467576167332e-241 1155
NR2F2 3.32707280118237 1.79900594328262e-229 5.45098800814632e-227 1084
NR2F1 3.31058748235933 2.38176017611691e-228 4.81115555575615e-226 1108
Esrrg 3.20103033557574 1.96194582835527e-221 2.97234792995823e-219 1113
RORA 3.09041239663371 3.6080699450714e-198 4.37298077342654e-196 1029
NR4A2 2.99585246384097 6.31365219822429e-198 6.37678872020654e-196 1060
ESRRB 3.08966897879121 5.25925156480677e-193 4.55300921181843e-191 1027
RARA-RXRA-DR0 3.21607705740625 7.93772679872304e-193 6.0128280500327e-191 1056
Esrra 2.87454360813796 1.93241627586933e-160 1.30116029241868e-158 967
NR4A1 2.61659375231513 2.65958012415865e-130 1.61170555524014e-128 877
Nr2f6 2.63862470242289 2.5145772437653e-121 1.38530346338343e-119 893
ASCL1 3.03827268715646 6.7660952160137e-112 3.41687808408692e-110 1003
RXRB 2.46904019881887 2.05166989873827e-99 9.56393814334916e-98 816
Rxra 2.43143149627864 5.65467627774489e-98 2.44766701736672e-96 829
RXRG 2.44286441837068 2.61971667269272e-95 1.05836553576786e-93 800
Sox3 2.32959860243728 1.94986741663982e-94 7.38512284052333e-93 808
Myod1 2.60570109451802 2.48130818498278e-94 8.8451338829386e-93 869
Ascl2 2.95208112575544 1.9050236883071e-93 6.41357975063391e-92 978
SOX15 2.34639743823301 1.34866227620237e-92 4.30152283883493e-91 793
Tcf12 2.53416934350383 3.18608055206684e-89 9.65382407276253e-88 842
Myog 2.52835261212194 1.22910153414669e-87 3.54683585568045e-86 827
ESR2 2.50303954851559 5.25945450631782e-87 1.44874065037664e-85 827
NR1H2-RXRA 2.37497913158701 2.46727942176518e-86 6.50074491125955e-85 788
Pou5f1-Sox2 2.34841183645613 2.89239053295876e-80 7.30328609572088e-79 789
RARA-RXRA-IR3 2.50956301420681 3.9041910230519e-80 9.46375903987781e-79 850
NHLH1 2.71130196572626 2.57651283055456e-79 6.0052568281387e-78 915
HNF4G 2.29287305866524 3.77619553805742e-79 8.47546109652888e-78 734
ESR1 2.61753579073392 9.48358083373035e-77 2.05251785187164e-75 867
RARA-RXRA 2.26909337094439 7.30051411954606e-76 1.52555570911894e-74 731
SOX10 2.16301524007405 5.02127144687811e-74 1.01429683226938e-72 732
ZNF263 2.76506317451975 4.53666759382585e-73 8.86845342534989e-72 933
NR2C2 2.22973426237535 6.53404065382204e-73 1.23738394881755e-71 742
Rarb 2.24472052625092 2.91618206574586e-72 5.35517070255149e-71 737
SP1 2.22982587735151 8.25152062932752e-72 1.47071220628602e-70 774
Pou2f3 2.33750266000446 3.05131231862402e-71 5.28312932881759e-70 769
POU5F1 2.23109864466677 6.46787639773259e-71 1.08875919361832e-69 746
Nr2f6(var.2) 2.19678500676744 7.51810196397788e-70 1.23134318653259e-68 725
POU5F1B 2.22482893602388 1.42522677352837e-69 2.27286164410051e-68 746
POU3F4 2.18663320335992 2.664467183326e-69 4.1401720848604e-68 749
KLF5 2.1517334791922 1.08144914178873e-68 1.63839544980993e-67 726
Rarb(var.2) 2.2116416998573 1.29817421999578e-68 1.91876482272547e-67 723
RARA(var.2) 2.20567686273493 4.9521491103241e-68 7.14524371632477e-67 711
RARA-RXRA-DR5 2.21481593593356 8.24276219441041e-68 1.1616543929797e-66 705
RARA 2.16092823709504 3.06898884404791e-67 4.22683463521144e-66 716
Rarg 2.16550224083224 1.03653918264854e-65 1.3958727659667e-64 718
TCF7L1 2.08301863061284 4.51389307555515e-64 5.94656348649221e-63 704
RARA-RXRG 2.16095754721439 2.87712917929273e-63 3.70966017585403e-62 689
LEF1 2.10574525331614 6.94228267811108e-63 8.76463188111524e-62 679
POU3F1 2.2129063436905 6.66557195603236e-61 8.24354409256247e-60 737
Sox6 1.97208500378213 1.05388413089214e-60 1.27730756664127e-59 746
Pparg-Rxra 2.09492403381348 1.3457779355772e-60 1.59910084109761e-59 670
POU2F2 2.15989582576568 1.05731495316916e-59 1.23217858003945e-58 730
KLF9 2.15767161049858 3.76934267654739e-58 4.30985219242966e-57 711
SP2 2.11035980474999 3.22836757721445e-57 3.62294583665177e-56 717
POU3F2 2.11056630821367 4.52708610681755e-55 4.98802578314807e-54 700
RARA-RXRA-DR2 2.01132634194277 1.5726940217372e-54 1.70187960209419e-53 684
SRY 2.00478442486331 1.30078285292642e-53 1.38293755942703e-52 655
POU2F1 2.0720594551512 2.95450713552252e-53 3.08695055883905e-52 698
POU1F1 2.08156478020218 4.05195712424898e-51 4.16184070727946e-50 686
POU3F3 2.11232945473407 1.60510244616619e-50 1.62115347062785e-49 683
RARA-RXRA-DR6 1.99412525028494 8.62687419932714e-50 8.57030453244631e-49 661
SP3 1.97118455652558 2.56945874214314e-47 2.51143870603023e-46 662
TCF4 2.01325965911162 7.30487919263216e-47 7.02659808053189e-46 653
RREB1 2.43234394180471 2.66706930875916e-46 2.52538125173133e-45 798
Tcf7 1.87927618316931 2.15453104015067e-45 2.00868586204816e-44 644
NRL 1.88644773210509 3.32574423009039e-45 3.05363788399209e-44 644
RARA-RXRA-DR1 1.90651668922179 1.06470622191164e-43 9.63002941012615e-43 627
TCF3 2.00658797817724 1.26260636528269e-43 1.12520508435487e-42 651
Rarg(var.2) 1.89491511388673 6.40259991667388e-41 5.62315297029619e-40 613
FOXC2 1.88534920486585 1.65396959093056e-40 1.4318651030056e-39 638
ID4 1.87323243919324 4.04075900806649e-40 3.44887318153281e-39 638
RARA-RXRA-DR8 1.87206080550616 5.90074832460422e-38 4.96646317320855e-37 593
FOXP3 1.81580798227695 9.35931607202864e-37 7.76951443787583e-36 599
TCF7L2 1.75230826227444 2.63179509771576e-36 2.1552267962375e-35 628
PPARA-RXRA 1.80136051264583 6.10924854918221e-35 4.93627282773923e-34 584
SOX13 1.74836813596839 1.09429640744955e-34 8.72557398571614e-34 603
EWSR1-FLI1 2.08462823052046 1.23989741573582e-34 9.75815368747929e-34 669
Foxj3 1.81936284153515 2.37634794305839e-34 1.84623955576075e-33 599
KLF16 1.8342177693694 7.33554472132592e-34 5.62701278623229e-33 609
FOXA1 1.75869908484447 4.87407192797291e-32 3.69210948543948e-31 585
Hnf4a 1.73784981750792 8.20977838455499e-32 6.14213049511151e-31 572
Zfx 1.82630118394432 1.11250736484256e-31 8.22170076944621e-31 625
ZNF384 2.30108166623943 3.0285588478815e-31 2.21121284556168e-30 805
PPARG 1.81642786966613 9.69661501160634e-30 6.995415115516e-29 590
Klf1 1.66524028294578 1.54783734041256e-29 1.10351697445884e-28 602
SP8 1.76099743582941 2.44216393403758e-29 1.72087365584509e-28 566
RARA-RXRA-DR4 1.727058512757 6.68114082157754e-29 4.65376015847815e-28 562
Foxd3 1.7559376990394 1.99896470486791e-28 1.37655978539768e-27 586
Sox2 1.63335786538072 2.75137395185185e-28 1.87340743238452e-27 592
FOXC1 1.69691874341807 7.70316839787377e-28 5.18680005456834e-27 585
Bhlha15 1.83874728236349 8.24535078984757e-28 5.49085997653585e-27 647
MAFK 1.95594611396982 4.4016234094926e-27 2.89933020233969e-26 608
IRF1 1.80007537460356 7.78735016556755e-27 5.07433784982144e-26 587
RARA-RXRA-ER2 1.79607015248372 3.8214274885683e-26 2.46360112560893e-25 578
FOXB1 1.68682489626033 2.98628892668228e-24 1.90493798902048e-23 559
Foxa2 1.62276982643029 3.94562326335448e-24 2.49067468499252e-23 552
NEUROD1 1.62943093513781 1.78743896517173e-23 1.11668867308667e-22 554
TFAP2C(var.2) 1.81190482090393 4.1962470478379e-23 2.59482215407119e-22 627
MAFF 1.83908440030076 4.27128943286863e-23 2.61454686496807e-22 598
RARA-RXRA-DR7 1.63244651207747 1.38269055034274e-22 8.379104735077e-22 529
POU4F2 1.72622686926946 1.40162729687728e-22 8.40976378126365e-22 571
TFAP2A 1.74567377877763 4.63620981840934e-22 2.75445406858437e-21 591
MEF2C 1.63006595691541 6.97745898539361e-22 4.10518460694032e-21 529
Nr2e1 1.5593915124658 1.18258362854243e-21 6.89082383554531e-21 543
TFAP2B(var.2) 1.75931766824898 1.85411951838451e-21 1.07009183632478e-20 610
KLF4 1.57658852680835 2.80222334265578e-21 1.60202579778245e-20 524
POU4F1 1.8042342687671 5.2038786749336e-21 2.94724343645772e-20 598
ZEB1 1.57069997425357 7.87515413648975e-21 4.41883648769703e-20 548
