pvalues_mESC_high padj_mESC_high
cluster_24 6.85992748250819e-18 5.41934271118147e-16
cluster_28 3.54328145678994e-15 1.39959617543202e-13
cluster_33 5.1257203196096e-10 1.34977301749719e-08
cluster_68 1.41675092677646e-08 2.79808308038352e-07
cluster_18 3.99764926658666e-08 6.31628584120692e-07
cluster_61 7.32386321898082e-07 9.64308657165808e-06
cluster_26 9.92717011866499e-06 9.80308049218168e-05
cluster_44 9.92717011866499e-06 9.80308049218168e-05
cluster_23 2.21595045234658e-05 0.00017506008573538
cluster_51 2.21595045234658e-05 0.00017506008573538
cluster_25 0.000398090734294023 0.00262076400076898
cluster_49 0.000398090734294023 0.00262076400076898
cluster_41 0.00139421723034599 0.00734287741315553
cluster_54 0.00139421723034599 0.00734287741315553
cluster_63 0.00139421723034599 0.00734287741315553
cluster_15 0.00431153589314395 0.0189228519754651
cluster_2 0.00431153589314395 0.0189228519754651
cluster_29 0.00431153589314395 0.0189228519754651
cluster_58 0.00724149065396276 0.030109355877003
cluster_77 0.0118006012947196 0.0466123751141423
cluster_48 0.018664278050906 0.0670217257282533
cluster_75 0.018664278050906 0.0670217257282533
cluster_7 0.0286624059284723 0.0984491334064919
cluster_19 0.0427550052225658 0.140735225524279
cluster_34 0.0873491140681235 0.255577037458584
cluster_52 0.0873491140681235 0.255577037458584
cluster_79 0.0873491140681235 0.255577037458584
cluster_32 0.119760017314095 0.305194882832695
cluster_37 0.119760017314095 0.305194882832695
cluster_6 0.119760017314095 0.305194882832695
cluster_70 0.119760017314095 0.305194882832695
cluster_57 0.159829520636648 0.382622185766521
cluster_76 0.159829520636648 0.382622185766521
cluster_35 0.263298325535456 0.577793547702805
cluster_53 0.263298325535456 0.577793547702805
cluster_74 0.263298325535456 0.577793547702805
cluster_60 0.325535324872188 0.69506190986224
cluster_43 0.393057757332318 0.817146390243503
cluster_5 0.463964181162827 0.893979763703983
cluster_59 0.463964181162827 0.893979763703983
cluster_67 0.463964181162827 0.893979763703983
cluster_47 0.536035818837174 0.984809992747365
cluster_65 0.536035818837174 0.984809992747365
cluster_14 0.606942242667682 0.999999712637718
cluster_66 0.606942242667682 0.999999712637718
cluster_27 0.674464675127812 0.999999712637718
cluster_73 0.674464675127812 0.999999712637718
cluster_62 0.736701674464544 0.999999712637718
cluster_9 0.736701674464544 0.999999712637718
cluster_42 0.792225820193887 0.999999712637718
cluster_45 0.792225820193887 0.999999712637718
cluster_12 0.840170479363352 0.999999712637718
cluster_13 0.840170479363352 0.999999712637718
cluster_31 0.840170479363352 0.999999712637718
cluster_17 0.880239982685905 0.999999712637718
cluster_38 0.880239982685905 0.999999712637718
cluster_46 0.880239982685905 0.999999712637718
cluster_56 0.938023057664834 0.999999712637718
cluster_64 0.938023057664834 0.999999712637718
cluster_72 0.938023057664834 0.999999712637718
cluster_78 0.938023057664834 0.999999712637718
cluster_16 0.957244994777434 0.999999712637718
cluster_71 0.981335721949094 0.999999712637718
cluster_21 0.98819939870528 0.999999712637718
cluster_40 0.98819939870528 0.999999712637718
cluster_55 0.992758509346037 0.999999712637718
cluster_11 0.995688464106856 0.999999712637718
cluster_8 0.995688464106856 0.999999712637718
cluster_69 0.997510131632061 0.999999712637718
cluster_36 0.998605782769654 0.999999712637718
cluster_50 0.999243217295327 0.999999712637718
cluster_30 0.999601909265706 0.999999712637718
cluster_10 0.999797114149127 0.999999712637718
cluster_3 0.999797114149127 0.999999712637718
cluster_22 0.999899844854724 0.999999712637718
cluster_20 0.999952121228266 0.999999712637718
cluster_39 0.999995696302809 0.999999712637718
cluster_4 0.999998194855088 0.999999712637718
cluster_1 0.999999712637718 0.999999712637718
