pvalues_mESC_high padj_mESC_high
ZIC1 3.83916978343656e-24 2.32653688876255e-21
SP1 4.20650908611445e-20 1.27457225309268e-17
Klf1 2.39128856631816e-19 4.83040290396268e-17
KLF5 6.85992748250819e-18 8.31423210879992e-16
ZIC3 6.85992748250819e-18 8.31423210879992e-16
ZIC4 1.68327851510086e-16 1.70011130025187e-14
Pou5f1-Sox2 7.8709791321961e-16 6.81401907730119e-14
SP4 6.41568977728431e-14 4.31989778337143e-12
KLF16 6.41568977728431e-14 4.31989778337143e-12
SP2 2.58212839712841e-13 1.56476980865982e-11
NR2F1 3.74738875433735e-12 2.06447053193494e-10
SP3 4.70626292898149e-11 2.37666277913565e-09
Nr2e1 1.58085760228304e-10 5.98749816864702e-09
KLF14 1.58085760228304e-10 5.98749816864702e-09
Klf12 1.58085760228304e-10 5.98749816864702e-09
ZNF740 1.58085760228304e-10 5.98749816864702e-09
SP8 5.1257203196096e-10 1.72565917426856e-08
SOX15 5.1257203196096e-10 1.72565917426856e-08
NR4A2 1.604618449718e-09 4.63047038347194e-08
NR2F2 1.604618449718e-09 4.63047038347194e-08
NR4A1 1.604618449718e-09 4.63047038347194e-08
RORA 4.85120821168508e-09 1.22493007345048e-07
Sox6 4.85120821168508e-09 1.22493007345048e-07
GLIS3 4.85120821168508e-09 1.22493007345048e-07
Zfx 1.41675092677646e-08 3.06625379152335e-07
Esrrg 1.41675092677646e-08 3.06625379152335e-07
GLIS2 1.41675092677646e-08 3.06625379152335e-07
SOX13 1.41675092677646e-08 3.06625379152335e-07
GLIS1 3.99764926658666e-08 8.35370846741902e-07
Sox3 1.09014387297015e-07 1.94302113829385e-06
ZBTB7C 1.09014387297015e-07 1.94302113829385e-06
ESRRB 1.09014387297015e-07 1.94302113829385e-06
Esrra 1.09014387297015e-07 1.94302113829385e-06
RARA-RXRA-ER5 1.09014387297015e-07 1.94302113829385e-06
KLF9 2.87362281760815e-07 4.70652818235281e-06
TEAD2 2.87362281760815e-07 4.70652818235281e-06
RARA-RXRA-DR0 2.87362281760815e-07 4.70652818235281e-06
REL 7.32386321898082e-07 1.08250270992741e-05
Sox2 7.32386321898082e-07 1.08250270992741e-05
EBF1 7.32386321898082e-07 1.08250270992741e-05
KLF13 7.32386321898082e-07 1.08250270992741e-05
MZF1(var.2) 1.80514491174003e-06 2.54399492212664e-05
Hnf4a 1.80514491174003e-06 2.54399492212664e-05
SOX9 4.30369719099009e-06 5.43341770362499e-05
Pparg-Rxra 4.30369719099009e-06 5.43341770362499e-05
Nr5a2 4.30369719099009e-06 5.43341770362499e-05
TEAD3 4.30369719099009e-06 5.43341770362499e-05
