pvalues_RARa_high padj_RARa_high
ZBTB7A 2.00839865037821e-17 1.21708958212919e-14
Gabpa 4.83053848408314e-17 1.46365316067719e-14
ELK4 1.14902854584473e-16 2.32103766260635e-14
ELK1 2.70314018257213e-16 4.09525737659677e-14
ETV3 6.28957748096616e-16 7.62296790693099e-14
ELK3 3.29475158510756e-15 3.32769910095864e-13
POU1F1 3.63953985357782e-14 3.15080164466879e-12
ELF4 1.70981821681412e-13 1.29518729923669e-11
POU3F1 7.69306178593708e-13 4.66199544227787e-11
POU3F2 7.69306178593708e-13 4.66199544227787e-11
POU3F3 1.36930326122115e-11 7.543616148182e-10
ERF 2.73854250390131e-11 1.38296396447016e-09
ETV1 5.41912594151535e-11 2.1893268803722e-09
ETV5 5.41912594151535e-11 2.1893268803722e-09
POU2F1 5.41912594151535e-11 2.1893268803722e-09
POU5F1B 1.0610596629452e-10 4.01876347340493e-09
FLI1 3.94100144784109e-10 1.32680382077317e-08
ELF1 3.94100144784109e-10 1.32680382077317e-08
ETV4 7.47625892480493e-10 2.38453310970094e-08
ETS1 1.40347897895837e-09 4.25254130624385e-08
Pou2f3 2.60724594534214e-09 7.18177746762425e-08
ERG 2.60724594534214e-09 7.18177746762425e-08
REL 4.79317463744517e-09 1.21027659595491e-07
FEV 4.79317463744517e-09 1.21027659595491e-07
Klf1 8.72047843912983e-09 2.11384397364507e-07
EHF 2.79797901656798e-08 6.27990845940814e-07
ETV6 2.79797901656798e-08 6.27990845940814e-07
KLF5 4.93461042582701e-08 1.03116342001764e-06
POU3F4 4.93461042582701e-08 1.03116342001764e-06
Pou5f1-Sox2 8.61350277755152e-08 1.73992756106541e-06
EVX1 2.54467473017317e-07 4.97442866608045e-06
TEAD1 4.30704634551432e-07 8.15646901681774e-06
EVX2 1.19666079775378e-06 2.19750437405693e-05
ETV2 1.96443474370754e-06 3.50131604319638e-05
TEAD4 3.19227098575427e-06 5.37365615935303e-05
POU5F1 3.19227098575427e-06 5.37365615935303e-05
SPDEF 5.13533756657032e-06 8.41085017659895e-05
RAX 8.17818673939254e-06 0.000127076440104407
TEAD2 8.17818673939254e-06 0.000127076440104407
NFKB2 3.10995198651364e-05 0.000471157725956816
SOX15 4.75814798711715e-05 0.000703277482973901
Sox5 7.20780203322638e-05 0.00101579721677562
LMX1B 7.20780203322638e-05 0.00101579721677562
MZF1(var.2) 0.000108108951237071 0.00145586720999255
TEAD3 0.000108108951237071 0.00145586720999255
POU2F2 0.000160556532881398 0.00198565834543117
SHOX 0.000160556532881398 0.00198565834543117
RARA(var.2) 0.000160556532881398 0.00198565834543117
Rarb(var.2) 0.000160556532881398 0.00198565834543117
ELF5 0.000236110802283199 0.00280555188595331
RARA-RXRA-IR0 0.000236110802283199 0.00280555188595331
RELA 0.00034382681873718 0.00385850096582835
ZIC3 0.00034382681873718 0.00385850096582835
ZNF740 0.00034382681873718 0.00385850096582835
SOX9 0.000495809231606357 0.0050076732392242
ELF3 0.000495809231606357 0.0050076732392242
MEF2B 0.000495809231606357 0.0050076732392242
SPIC 0.000495809231606357 0.0050076732392242
ZBTB7B 0.000495809231606357 0.0050076732392242
NOTO 0.000495809231606357 0.0050076732392242
PAX4 0.000708036939875984 0.00670422477445072
POU4F2 0.000708036939875984 0.00670422477445072
Dlx1 0.000708036939875984 0.00670422477445072
Dlx2 0.000708036939875984 0.00670422477445072
NKX6-2 0.00100133576792456 0.00866870679088973
LHX2 0.00100133576792456 0.00866870679088973
PROP1 0.00100133576792456 0.00866870679088973
ZIC4 0.00100133576792456 0.00866870679088973
NFKB1 0.00100133576792456 0.00866870679088973
Dlx3 0.00100133576792456 0.00866870679088973
SRY 0.00140249956777927 0.010758414406003
Znf423 0.00140249956777927 0.010758414406003
ISX 0.00140249956777927 0.010758414406003
ZBTB7C 0.00140249956777927 0.010758414406003
PDX1 0.00140249956777927 0.010758414406003
SP8 0.00140249956777927 0.010758414406003
HESX1 0.00140249956777927 0.010758414406003
SOX13 0.00140249956777927 0.010758414406003
RARA-RXRA-ER2 0.00140249956777927 0.010758414406003
Sox17 0.00194554961820675 0.0129560776772889
RARA-RXRA 0.00194554961820675 0.0129560776772889
BATF-JUN 0.00194554961820675 0.0129560776772889
MIXL1 0.00194554961820675 0.0129560776772889
PRRX1 0.00194554961820675 0.0129560776772889
RAX2 0.00194554961820675 0.0129560776772889
UNCX 0.00194554961820675 0.0129560776772889
BARX1 0.00194554961820675 0.0129560776772889
HOXA2 0.00194554961820675 0.0129560776772889
TFDP1 0.00194554961820675 0.0129560776772889
RARA-RXRA-DR5 0.00194554961820675 0.0129560776772889
RARA-RXRA-ER1 0.00194554961820675 0.0129560776772889
Prrx2 0.00267310845310974 0.0167000383771598
ZIC1 0.00267310845310974 0.0167000383771598
MSX2 0.00267310845310974 0.0167000383771598
MEF2A 0.00267310845310974 0.0167000383771598
HOXB2 0.00267310845310974 0.0167000383771598
GATA3 0.00267310845310974 0.0167000383771598
E2F4 0.00363784742015572 0.0218270845209343
mix-a 0.00363784742015572 0.0218270845209343
Klf12 0.00363784742015572 0.0218270845209343
MEF2D 0.00363784742015572 0.0218270845209343
ALX3 0.0049039478174217 0.0270162943396141
LMX1A 0.0049039478174217 0.0270162943396141
SP3 0.0049039478174217 0.0270162943396141
POU4F1 0.0049039478174217 0.0270162943396141
BSX 0.0049039478174217 0.0270162943396141
Dlx4 0.0049039478174217 0.0270162943396141
DLX6 0.0049039478174217 0.0270162943396141
GSX1 0.0049039478174217 0.0270162943396141
RARA-RXRA-IR5 0.0049039478174217 0.0270162943396141
SPIB 0.00654849429802135 0.0342102374534564
STAT1 0.00654849429802135 0.0342102374534564
CENPB 0.00654849429802135 0.0342102374534564
Shox2 0.00654849429802135 0.0342102374534564
FOXB1 0.00654849429802135 0.0342102374534564
Hoxb5 0.00654849429802135 0.0342102374534564
EBF1 0.00866269777896495 0.0423354423713932
Phox2b 0.00866269777896495 0.0423354423713932
SPI1 0.00866269777896495 0.0423354423713932
LBX2 0.00866269777896495 0.0423354423713932
Msx3 0.00866269777896495 0.0423354423713932
POU4F3 0.00866269777896495 0.0423354423713932
EMX2 0.00866269777896495 0.0423354423713932
GBX2 0.00866269777896495 0.0423354423713932
Bcl6 0.0113528252414965 0.0529216315103607
NFATC1 0.0113528252414965 0.0529216315103607
VSX1 0.0113528252414965 0.0529216315103607
SOX21 0.0113528252414965 0.0529216315103607
GBX1 0.0113528252414965 0.0529216315103607
GSX2 0.0113528252414965 0.0529216315103607
ESX1 0.014740697895615 0.0624675729002985
MEOX1 0.014740697895615 0.0624675729002985
NKX6-1 0.014740697895615 0.0624675729002985
SP4 0.014740697895615 0.0624675729002985
Lhx4 0.014740697895615 0.0624675729002985
MEOX2 0.014740697895615 0.0624675729002985
VENTX 0.014740697895615 0.0624675729002985
EGR4 0.014740697895615 0.0624675729002985
TFAP2B(var.2) 0.014740697895615 0.0624675729002985
E2F8 0.014740697895615 0.0624675729002985
Hoxd9 0.014740697895615 0.0624675729002985
RELB 0.014740697895615 0.0624675729002985
RARA-RXRG 0.014740697895615 0.0624675729002985
Hand1-Tcf3 0.018963609823704 0.0771271647863396
Crem 0.018963609823704 0.0771271647863396
KLF16 0.018963609823704 0.0771271647863396
CUX2 0.018963609823704 0.0771271647863396
ZNF282 0.018963609823704 0.0771271647863396
Smad4 0.018963609823704 0.0771271647863396
PBX1 0.0241735191176242 0.094510661840518
SP1 0.0241735191176242 0.094510661840518
EN1 0.0241735191176242 0.094510661840518
HINFP 0.0241735191176242 0.094510661840518
Hnf4a 0.0241735191176242 0.094510661840518
HSF4 0.0241735191176242 0.094510661840518
MZF1 0.0305353751733928 0.109493712160213
Hoxc9 0.0305353751733928 0.109493712160213
Arid3b 0.0305353751733928 0.109493712160213
EMX1 0.0305353751733928 0.109493712160213
EN2 0.0305353751733928 0.109493712160213
EGR3 0.0305353751733928 0.109493712160213
TFAP2C(var.2) 0.0305353751733928 0.109493712160213
Alx1 0.0305353751733928 0.109493712160213
GMEB2 0.0305353751733928 0.109493712160213
HOXA10 0.0305353751733928 0.109493712160213
HOXB3 0.0305353751733928 0.109493712160213
Hoxd8 0.0305353751733928 0.109493712160213
ZNF24 0.0305353751733928 0.109493712160213
RARA-RXRA-DR6 0.0305353751733928 0.109493712160213
NFATC2 0.0382244711557938 0.129407986147548
Stat6 0.0382244711557938 0.129407986147548
STAT3 0.0382244711557938 0.129407986147548
LIN54 0.0382244711557938 0.129407986147548
RUNX3 0.0382244711557938 0.129407986147548
LHX9 0.0382244711557938 0.129407986147548
PHOX2A 0.0382244711557938 0.129407986147548
GLIS2 0.0382244711557938 0.129407986147548
E2F7 0.0382244711557938 0.129407986147548
NR2F2 0.0382244711557938 0.129407986147548
FOSL2 0.0474227507369445 0.15534155106264
HSF1 0.0474227507369445 0.15534155106264
LHX6 0.0474227507369445 0.15534155106264
MNX1 0.0474227507369445 0.15534155106264
KLF14 0.0474227507369445 0.15534155106264
Barhl1 0.0474227507369445 0.15534155106264
ZNF354C 0.0583140528543357 0.184053729321497
INSM1 0.0583140528543357 0.184053729321497
SP2 0.0583140528543357 0.184053729321497
LBX1 0.0583140528543357 0.184053729321497
TFAP2C 0.0583140528543357 0.184053729321497
Sox11 0.0583140528543357 0.184053729321497
HOXD12 0.0583140528543357 0.184053729321497
Nobox 0.0710783457303001 0.214295908022696
PLAG1 0.0710783457303001 0.214295908022696
Zfx 0.0710783457303001 0.214295908022696
NFATC3 0.0710783457303001 0.214295908022696
PITX3 0.0710783457303001 0.214295908022696
VSX2 0.0710783457303001 0.214295908022696
E2F3 0.0710783457303001 0.214295908022696
Alx4 0.0710783457303001 0.214295908022696
IRF3 0.0710783457303001 0.214295908022696
Nkx2-5 0.0858850784119686 0.246665201505464
TBP 0.0858850784119686 0.246665201505464
Arid5a 0.0858850784119686 0.246665201505464
MSX1 0.0858850784119686 0.246665201505464
Nr2e1 0.0858850784119686 0.246665201505464
Lhx8 0.0858850784119686 0.246665201505464
VAX1 0.0858850784119686 0.246665201505464
GATA5 0.0858850784119686 0.246665201505464
HOXC12 0.0858850784119686 0.246665201505464
ZNF384 0.0858850784119686 0.246665201505464
Pparg-Rxra 0.102885859686558 0.280850589955199
Stat5a-Stat5b 0.102885859686558 0.280850589955199
VAX2 0.102885859686558 0.280850589955199
GLI2 0.102885859686558 0.280850589955199
ONECUT3 0.102885859686558 0.280850589955199
RUNX2 0.102885859686558 0.280850589955199
TFAP2A 0.102885859686558 0.280850589955199
Rarb 0.102885859686558 0.280850589955199
CDX1 0.102885859686558 0.280850589955199
HOXB13 0.102885859686558 0.280850589955199
