pvalues_mESC_low padj_mESC_low
cluster_1 7.32386321898082e-07 5.78585194299485e-05
cluster_4 4.30369719099009e-06 0.000169996039044109
cluster_39 9.92717011866499e-06 0.000261415479791511
cluster_20 0.000100155145275448 0.00197806411919009
cluster_22 0.000202885850872635 0.00320559644378764
cluster_10 0.000398090734294023 0.00449273828703254
cluster_3 0.000398090734294023 0.00449273828703254
cluster_30 0.000756782704672822 0.00747322920864411
cluster_50 0.00139421723034599 0.0122381290219259
cluster_36 0.00248986836793923 0.0196699601067199
cluster_69 0.00431153589314395 0.0309646668689429
cluster_11 0.00724149065396276 0.0440059816663891
cluster_8 0.00724149065396276 0.0440059816663891
cluster_55 0.0118006012947196 0.0665891073059176
cluster_21 0.018664278050906 0.0921548728763483
cluster_40 0.018664278050906 0.0921548728763483
cluster_71 0.0286624059284723 0.133195886373489
cluster_16 0.0619769423351658 0.272009913582117
cluster_56 0.0873491140681235 0.31366272779008
cluster_64 0.0873491140681235 0.31366272779008
cluster_72 0.0873491140681235 0.31366272779008
cluster_78 0.0873491140681235 0.31366272779008
cluster_17 0.159829520636648 0.505061285211808
cluster_38 0.159829520636648 0.505061285211808
cluster_46 0.159829520636648 0.505061285211808
cluster_12 0.207774179806113 0.586220007310103
cluster_13 0.207774179806113 0.586220007310103
cluster_31 0.207774179806113 0.586220007310103
cluster_42 0.263298325535456 0.693352257243366
cluster_45 0.263298325535456 0.693352257243366
cluster_62 0.325535324872188 0.803665333278215
cluster_9 0.325535324872188 0.803665333278215
cluster_27 0.393057757332318 0.913281259683915
cluster_73 0.393057757332318 0.913281259683915
cluster_14 0.463964181162826 1
cluster_66 0.463964181162826 1
cluster_47 0.536035818837173 1
cluster_65 0.536035818837173 1
cluster_5 0.606942242667682 1
cluster_59 0.606942242667682 1
cluster_67 0.606942242667682 1
cluster_43 0.674464675127812 1
cluster_60 0.736701674464544 1
cluster_35 0.792225820193887 1
cluster_53 0.792225820193887 1
cluster_74 0.792225820193887 1
cluster_57 0.880239982685905 1
cluster_76 0.880239982685905 1
cluster_32 0.912650885931876 1
cluster_37 0.912650885931876 1
cluster_6 0.912650885931876 1
cluster_70 0.912650885931876 1
cluster_34 0.938023057664834 1
cluster_52 0.938023057664834 1
cluster_79 0.938023057664834 1
cluster_19 0.971337594071528 1
cluster_7 0.981335721949094 1
cluster_48 0.98819939870528 1
cluster_75 0.98819939870528 1
cluster_77 0.992758509346037 1
cluster_58 0.995688464106856 1
cluster_15 0.997510131632061 1
cluster_2 0.997510131632061 1
cluster_29 0.997510131632061 1
cluster_41 0.999243217295327 1
cluster_54 0.999243217295327 1
cluster_63 0.999243217295327 1
cluster_25 0.999797114149127 1
cluster_49 0.999797114149127 1
cluster_23 0.999990072829881 1
cluster_51 0.999990072829881 1
cluster_26 0.999995696302809 1
cluster_44 0.999995696302809 1
cluster_61 0.999999712637718 1
cluster_18 0.999999985832491 1
cluster_68 0.999999995148792 1
cluster_33 0.999999999841914 1
cluster_28 0.999999999999999 1
cluster_24 1 1
