pvalues_mESC_low padj_mESC_low
Hoxd8 3.99764926658666e-08 2.2020906233997e-05
Phox2b 1.09014387297015e-07 2.2020906233997e-05
PROP1 1.09014387297015e-07 2.2020906233997e-05
Twist2 2.87362281760815e-07 4.35353856867635e-05
IRF9 1.80514491174003e-06 0.000156273973787779
PHOX2A 1.80514491174003e-06 0.000156273973787779
Dlx1 1.80514491174003e-06 0.000156273973787779
Nobox 4.30369719099009e-06 0.000200618499826154
Neurog1 4.30369719099009e-06 0.000200618499826154
Dlx3 4.30369719099009e-06 0.000200618499826154
Dlx2 4.30369719099009e-06 0.000200618499826154
HOXA10 4.30369719099009e-06 0.000200618499826154
USF2 4.30369719099009e-06 0.000200618499826154
Msx3 9.92717011866499e-06 0.000353874417171234
RAX 9.92717011866499e-06 0.000353874417171234
DLX6 9.92717011866499e-06 0.000353874417171234
Hoxd9 9.92717011866499e-06 0.000353874417171234
MAF-NFE2 2.21595045234658e-05 0.000610393624600923
NEUROG2 2.21595045234658e-05 0.000610393624600923
PKNOX1 2.21595045234658e-05 0.000610393624600923
Dlx4 2.21595045234658e-05 0.000610393624600923
GBX2 2.21595045234658e-05 0.000610393624600923
POU6F1 4.78787717335607e-05 0.00107461243224214
SHOX 4.78787717335607e-05 0.00107461243224214
LHX9 4.78787717335607e-05 0.00107461243224214
TGIF1 4.78787717335607e-05 0.00107461243224214
MITF 4.78787717335607e-05 0.00107461243224214
YY1 0.000100155145275448 0.0018392126677855
EMX1 0.000100155145275448 0.0018392126677855
PRRX1 0.000100155145275448 0.0018392126677855
Shox2 0.000100155145275448 0.0018392126677855
VSX1 0.000100155145275448 0.0018392126677855
PKNOX2 0.000100155145275448 0.0018392126677855
Nkx2-5 0.000202885850872635 0.00273219612508482
USF1 0.000202885850872635 0.00273219612508482
mix-a 0.000202885850872635 0.00273219612508482
EN1 0.000202885850872635 0.00273219612508482
HOXA13 0.000202885850872635 0.00273219612508482
MLXIPL 0.000202885850872635 0.00273219612508482
RAX2 0.000202885850872635 0.00273219612508482
