pvalues_RARa_low padj_RARa_low
Esrra 8.72047843912983e-09 5.28460993411268e-06
MEIS2 1.19666079775378e-06 0.000362588221719394
MEIS1 1.96443474370754e-06 0.000396815818228923
T 1.28936449160533e-05 0.00156270976382566
TGIF2 1.28936449160533e-05 0.00156270976382566
MEIS3 3.10995198651364e-05 0.00314105150637877
RORA 4.75814798711715e-05 0.00411919668598999
Creb3l2 7.20780203322638e-05 0.0048532533690391
PKNOX2 7.20780203322638e-05 0.0048532533690391
Atf1 0.000108108951237071 0.00655140244496649
SMAD2-SMAD3-SMAD4 0.00034382681873718 0.0148827894396236
BHLHE41 0.00034382681873718 0.0148827894396236
TGIF1 0.00034382681873718 0.0148827894396236
TBX1 0.00034382681873718 0.0148827894396236
Ahr-Arnt 0.000495809231606357 0.0176741408443207
PKNOX1 0.000495809231606357 0.0176741408443207
MGA 0.000495809231606357 0.0176741408443207
Pax2 0.000708036939875984 0.022582651871834
EOMES 0.000708036939875984 0.022582651871834
Tcfl5 0.00140249956777927 0.042495736903712
XBP1 0.00194554961820675 0.0561430032682518
ARNT-HIF1A 0.00267310845310974 0.0674959884410209
SIX1 0.00267310845310974 0.0674959884410209
RARA-RXRA-DR1 0.00267310845310974 0.0674959884410209
Hes1 0.00363784742015572 0.0787334120219417
ID4 0.00363784742015572 0.0787334120219417
SREBF2(var.2) 0.00363784742015572 0.0787334120219417
CREB3L1 0.00363784742015572 0.0787334120219417
BHLHE40 0.0049039478174217 0.102475599219226
NR1H2-RXRA 0.00654849429802135 0.107253717421647
Id2 0.00654849429802135 0.107253717421647
ESR1 0.00654849429802135 0.107253717421647
TBR1 0.00654849429802135 0.107253717421647
HMBOX1 0.00654849429802135 0.107253717421647
HIF1A 0.00654849429802135 0.107253717421647
ZSCAN4 0.00654849429802135 0.107253717421647
RARA-RXRA-ER3 0.00654849429802135 0.107253717421647
Gmeb1 0.00866269777896495 0.119308973955745
HEY2 0.00866269777896495 0.119308973955745
MYF6 0.00866269777896495 0.119308973955745
TBX2 0.00866269777896495 0.119308973955745
TEF 0.00866269777896495 0.119308973955745
TFEC 0.00866269777896495 0.119308973955745
TFE3 0.00866269777896495 0.119308973955745
Mecom 0.0113528252414965 0.127403927710128
PPARG 0.0113528252414965 0.127403927710128
TCF7L2 0.0113528252414965 0.127403927710128
Arntl 0.0113528252414965 0.127403927710128
NFIA 0.0113528252414965 0.127403927710128
TBX21 0.0113528252414965 0.127403927710128
TBX15 0.0113528252414965 0.127403927710128
TBX4 0.0113528252414965 0.127403927710128
Srebf1(var.2) 0.0113528252414965 0.127403927710128
USF2 0.0113528252414965 0.127403927710128
Arnt 0.014740697895615 0.148881048745711
Twist2 0.014740697895615 0.148881048745711
Nr2f6 0.014740697895615 0.148881048745711
LEF1 0.014740697895615 0.148881048745711
TBX19 0.014740697895615 0.148881048745711
MNT 0.014740697895615 0.148881048745711
CREB3 0.018963609823704 0.179561680518197
FOXO3 0.018963609823704 0.179561680518197
HES7 0.018963609823704 0.179561680518197
MTF1 0.018963609823704 0.179561680518197
REST 0.0241735191176242 0.212306559206961
Nkx2-5(var.2) 0.0241735191176242 0.212306559206961
ZBTB33 0.0241735191176242 0.212306559206961
NHLH1 0.0241735191176242 0.212306559206961
Creb5 0.0241735191176242 0.212306559206961
DMRT3 0.0305353751733928 0.250059964257784
TCF4 0.0305353751733928 0.250059964257784
JUN-JUNB(var.2) 0.0305353751733928 0.250059964257784
TCF7L1 0.0305353751733928 0.250059964257784
RARA-RXRA-ER8 0.0305353751733928 0.250059964257784
Hes2 0.0382244711557938 0.279084693017001
FOXL1 0.0382244711557938 0.279084693017001
MAFG 0.0382244711557938 0.279084693017001
NKX2-8 0.0382244711557938 0.279084693017001
Tcf7 0.0382244711557938 0.279084693017001
TBX5 0.0382244711557938 0.279084693017001
MAX 0.0382244711557938 0.279084693017001
OLIG1 0.0382244711557938 0.279084693017001
MYB 0.0382244711557938 0.279084693017001
MLXIPL 0.0474227507369445 0.312371597245526
Nkx3-1 0.0474227507369445 0.312371597245526
CLOCK 0.0474227507369445 0.312371597245526
FIGLA 0.0474227507369445 0.312371597245526
HEY1 0.0474227507369445 0.312371597245526
TCF3 0.0474227507369445 0.312371597245526
SIX2 0.0474227507369445 0.312371597245526
SOX10 0.0474227507369445 0.312371597245526
RARA-RXRA-ER4 0.0474227507369445 0.312371597245526
MAFG-NFE2L1 0.0583140528543357 0.360595061527831
MAF-NFE2 0.0583140528543357 0.360595061527831
Gata4 0.0583140528543357 0.360595061527831
TFEB 0.0583140528543357 0.360595061527831
NFYA 0.0583140528543357 0.360595061527831
RARA-RXRA-DR2 0.0583140528543357 0.360595061527831
Nr1h3-Rxra 0.0710783457303001 0.398828495486684
Tcf12 0.0710783457303001 0.398828495486684
NFIX 0.0710783457303001 0.398828495486684
NKX2-3 0.0710783457303001 0.398828495486684
Rxra 0.0710783457303001 0.398828495486684
SRF 0.0710783457303001 0.398828495486684
ZBTB18 0.0710783457303001 0.398828495486684
ESRRB 0.0710783457303001 0.398828495486684
PBX3 0.0710783457303001 0.398828495486684
