cluster_1	JASPAR_2018_vertebrates_m234_MA0630.1	SHOX
cluster_2	JASPAR_2018_vertebrates_m281_MA0677.1	Nr2f6
cluster_3	JASPAR_2018_vertebrates_m564_MA1144.1	FOSL2::JUND
cluster_4	JASPAR_2018_vertebrates_m429_MA0825.1	MNT
cluster_5	JASPAR_2018_vertebrates_m551_MA1131.1	FOSL2::JUN_var.2_
cluster_6	JASPAR_2018_vertebrates_m414_MA0810.1	TFAP2A_var.2_
cluster_7	JASPAR_2018_vertebrates_m363_MA0759.1	ELK3
cluster_8	JASPAR_2018_vertebrates_m128_MA0461.2	Atoh1
cluster_9	JASPAR_2018_vertebrates_m188_MA0522.2	TCF3
cluster_10	JASPAR_2018_vertebrates_m359_MA0755.1	CUX2
cluster_11	JASPAR_2018_vertebrates_m405_MA0801.1	MGA
cluster_12	JASPAR_2018_vertebrates_m217_MA0613.1	FOXG1
cluster_13	JASPAR_2018_vertebrates_m402_MA0798.1	RFX3
cluster_14	JASPAR_2018_vertebrates_m153_MA0486.2	HSF1
cluster_15	JASPAR_2018_vertebrates_m83_MA0113.3	NR3C1
cluster_16	JASPAR_2018_vertebrates_m458_MA0854.1	Alx1
cluster_17	JASPAR_2018_vertebrates_m383_MA0779.1	PAX1
cluster_18	JASPAR_2018_vertebrates_m390_MA0786.1	POU3F1
cluster_19	JASPAR_2018_vertebrates_m210_MA0606.1	NFAT5
cluster_20	JASPAR_2018_vertebrates_m377_MA0773.1	MEF2D
cluster_21	JASPAR_2018_vertebrates_m21_MA0036.3	GATA2
cluster_22	JASPAR_2018_vertebrates_m503_MA0899.1	HOXA10
cluster_23	JASPAR_2018_vertebrates_m64_MA0090.2	TEAD1
cluster_24	JASPAR_2018_vertebrates_m340_MA0736.1	GLIS2
cluster_25	JASPAR_2018_vertebrates_m334_MA0730.1	RARA_var.2_
cluster_26	JASPAR_2018_vertebrates_m382_MA0778.1	NFKB2
cluster_27	JASPAR_2018_vertebrates_m379_MA0775.1	MEIS3
cluster_28	JASPAR_2018_vertebrates_m351_MA0747.1	SP8
cluster_29	JASPAR_2018_vertebrates_m137_MA0470.1	E2F4
cluster_30	JASPAR_2018_vertebrates_m394_MA0790.1	POU4F1
cluster_31	JASPAR_2018_vertebrates_m256_MA0652.1	IRF8
cluster_32	JASPAR_2018_vertebrates_m97_MA0137.3	STAT1
cluster_33	JASPAR_2018_vertebrates_m181_MA0515.1	Sox6
cluster_34	JASPAR_2018_vertebrates_m473_MA0869.1	Sox11
cluster_35	JASPAR_2018_vertebrates_m274_MA0670.1	NFIA
cluster_36	JASPAR_2018_vertebrates_m465_MA0861.1	TP73
cluster_37	JASPAR_2018_vertebrates_m446_MA0842.1	NRL
cluster_38	JASPAR_2018_vertebrates_m288_MA0684.1	RUNX3
cluster_39	JASPAR_2018_vertebrates_m468_MA0864.1	E2F2
cluster_40	JASPAR_2018_vertebrates_m251_MA0647.1	GRHL1
cluster_41	JASPAR_2018_vertebrates_m82_MA0112.3	ESR1
cluster_42	JASPAR_2018_vertebrates_m408_MA0804.1	TBX19
cluster_43	JASPAR_2018_vertebrates_m573_MA1153.1	Smad4
cluster_44	JASPAR_2018_vertebrates_m160_MA0494.1	Nr1h3::Rxra
cluster_45	JASPAR_2018_vertebrates_m150_MA0483.1	Gfi1b
cluster_46	JASPAR_2018_vertebrates_m538_MA1118.1	SIX1
cluster_47	JASPAR_2018_vertebrates_m39_MA0060.3	NFYA
cluster_48	JASPAR_2018_vertebrates_m522_MA1102.1	CTCFL
cluster_49	JASPAR_2018_vertebrates_m35_MA0056.1	MZF1
cluster_50	JASPAR_2018_vertebrates_m193_MA0527.1	ZBTB33
cluster_51	JASPAR_2018_vertebrates_m123_MA0163.1	PLAG1
cluster_52	JASPAR_2018_vertebrates_m86_MA0116.1	Znf423
cluster_53	JASPAR_2018_vertebrates_m380_MA0776.1	MYBL1
cluster_54	JASPAR_2018_vertebrates_m109_MA0149.1	EWSR1-FLI1
cluster_55	JASPAR_2018_vertebrates_m545_MA1125.1	ZNF384
cluster_56	JASPAR_2018_vertebrates_m472_MA0868.1	SOX8
cluster_57	JASPAR_2018_vertebrates_m214_MA0610.1	DMRT3
cluster_58	JASPAR_2018_vertebrates_m81_MA0111.1	Spz1
cluster_59	JASPAR_2018_vertebrates_m356_MA0752.1	ZNF410
cluster_60	JASPAR_2018_vertebrates_m574_MA1154.1	ZNF282
cluster_61	JASPAR_2018_vertebrates_m114_MA0154.3	EBF1
cluster_62	JASPAR_2018_vertebrates_m235_MA0631.1	Six3
cluster_63	JASPAR_2018_vertebrates_m62_MA0088.2	ZNF143
cluster_64	JASPAR_2018_vertebrates_m79_MA0108.2	TBP
cluster_65	JASPAR_2018_vertebrates_m10_MA0019.1	Ddit3::Cebpa
cluster_66	JASPAR_2018_vertebrates_m146_MA0479.1	FOXH1
cluster_67	JASPAR_2018_vertebrates_m544_MA1124.1	ZNF24
cluster_68	JASPAR_2018_vertebrates_m106_MA0146.2	Zfx
cluster_69	JASPAR_2018_vertebrates_m206_MA0602.1	Arid5a
cluster_70	JASPAR_2018_vertebrates_m467_MA0863.1	MTF1
cluster_71	JASPAR_2018_vertebrates_m575_MA1155.1	ZSCAN4
cluster_72	JASPAR_2018_vertebrates_m172_MA0506.1	NRF1
cluster_73	JASPAR_2018_vertebrates_m233_MA0629.1	Rhox11
cluster_74	JASPAR_2018_vertebrates_m487_MA0883.1	Dmbx1
cluster_75	JASPAR_2018_vertebrates_m50_MA0073.1	RREB1
cluster_76	JASPAR_2018_vertebrates_m59_MA0083.3	SRF
cluster_77	JASPAR_2018_vertebrates_m241_MA0637.1	CENPB
cluster_78	JASPAR_2018_vertebrates_m98_MA0138.2	REST
cluster_79	JASPAR_2018_vertebrates_m124_MA0164.1	Nr2e3
